group,task_id,case_family,checklist_pass_rate,semantic_hit_rate,timed_out,accepted,failure_attribution
ccb-baseline,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L2-013,record_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L3-003,full_year_audit,33.333,30.769,False,True,anomaly_omission|anomaly_scope_expansion|policy_or_version_error|reasoning_or_scan_error|record_id_omission
ccb-baseline,L3-004,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L3-006,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L3-007,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L3-008,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L3-009,retrieval_and_report,93.151,92.537,False,True,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|report_completeness_error
ccb-baseline,L3-010,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,TRAP-002,clean_trap,85.714,84.615,False,True,other_checklist_item_miss
ccb-baseline,TRAP-003,clean_trap,81.25,80.0,False,True,policy_or_version_error
ccb-baseline,TRAP-005,clean_trap,88.0,87.5,False,True,other_checklist_item_miss
ccb-enhanced,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L2-013,record_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L3-003,full_year_audit,70.37,69.231,False,True,anomaly_omission|policy_or_version_error|reasoning_or_scan_error|record_id_omission
ccb-enhanced,L3-004,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L3-006,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L3-007,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L3-008,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L3-009,retrieval_and_report,86.301,85.075,False,True,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|report_completeness_error
ccb-enhanced,L3-010,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,TRAP-002,clean_trap,85.714,84.615,False,True,other_checklist_item_miss
ccb-enhanced,TRAP-003,clean_trap,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,TRAP-005,clean_trap,96.0,95.833,False,True,other_checklist_item_miss
codex-baseline,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
