R000001|E0026|training_fee|1744.45|||||星河相关专业能力培训费|2025-07-26
R000002|E0050|office_supplies|423.79|||||清源项目资料装订用品费|2025-08-19
R000003|E0061|training_fee|3209.78|||||客户服务运营规范培训费|2025-03-15
R000004|E0033|business_entertainment|598.83|||3||重点客户维护业务招待费|2025-07-16
R000005|E0022|local_transport|88.83||1||A|青竹系统测试交通费|2025-06-07
R000006|E0025|local_transport|214.44||3||A|赴客户现场办理星河事项交通费|2025-12-04
R000007|E0021|training_fee|2301.13|||||固定收益部项目管理学习费用|2025-07-24
R000008|E0060|training_fee|2779.19|||||杭州集中培训课程费|2025-05-17
R000009|E0025|travel_lodging|545.6|2|||C|清源客户拜访行程住宿费|2025-11-03
R000010|E0029|local_transport|86.62||1||A|上海材料补充交通费|2025-12-09
R000011|E0055|communication|270.14|||||会议通知通讯费|2025-05-25
R000012|E0062|training_fee|1960.89|||||参加信息安全专题培训费|2025-10-07
R000013|E0066|local_transport|87.17||1||B|杭州材料补充交通费|2025-07-03
R000014|E0032|local_transport|120.36||3||C|分支机构沟通事项市内交通费|2025-03-06
R000015|E0062|office_supplies|318.46|||||业务会议用品费|2025-04-29
R000016|E0066|local_transport|148.8||2||B|财富管理部外勤走访市内交通费|2025-09-24
R000017|E0043|communication|265.63|||||杭州现场支持通讯费|2025-12-31
R000018|E0031|office_supplies|342.95|||||澄江资料袋采购费|2025-11-02
R000019|E0057|office_supplies|282.66|||||机构业务部文件夹和标签耗材费|2025-07-15
R000020|E0028|travel_lodging|669.5|2|||B|财务管理部跨部门协同赴杭州住宿费|2025-01-05
R000021|E0014|local_transport|222.13||2||A|财务管理部跨部门沟通交通费|2025-09-23
R000022|E0062|travel_lodging|1198.38|3|||A|云帆材料访谈期间住宿费|2025-12-24
R000023|E0068|office_supplies|195.7|||||北辰会议材料打印用品费|2025-07-23
R000024|E0047|business_entertainment|750.97|||3||客户服务改进沟通餐费|2025-11-13
R000025|E0031|local_transport|250.29||3||B|北辰尽调访谈交通费|2025-11-21
R000026|E0027|local_transport|84.98||1||A|客户访谈期间市内交通包干|2025-11-05
R000027|E0054|business_entertainment|666.68|||4||重点客户维护业务招待费|2025-11-23
R000028|E0036|communication|165.58|||||北辰项目沟通通讯费|2025-03-09
R000029|E0045|business_entertainment|745.16|||5||机构客户会议工作餐费|2025-03-16
R000030|E0035|office_supplies|484.74|||||北辰资料袋采购费|2025-04-09
R000031|E0066|business_entertainment|908.2|||5||财富管理部合作机构接待费|2025-11-20
R000032|E0051|travel_lodging|946.48|3|||B|杭州客户沟通行程住宿费|2025-08-10
R000033|E0029|communication|231.05|||||客户回访电话费用|2025-07-20
R000034|E0078|local_transport|136.57||2||B|杭州材料补充交通费|2025-12-27
R000035|E0024|travel_lodging|285.51|1|||B|赴杭州参加业务协调会住宿费|2025-11-13
R000036|E0056|office_supplies|470.72|||||启明现场办公用品费|2025-03-18
R000037|E0027|local_transport|84.72||1||B|北辰尽调访谈交通费|2025-03-30
R000038|E0018|office_supplies|390.75|||||员工工位文具补充费|2025-09-16
R000039|E0051|travel_lodging|347.8|1|||A|星河合同资料交接住宿费|2025-05-30
R000040|E0077|training_fee|1684.35|||||风险识别数据治理课程费|2025-10-12
R000041|E0024|training_fee|2867.87|||||运营管理部岗位能力提升培训费|2025-04-21
R000042|E0044|local_transport|64.35||1||B|杭州北辰项目市内交通费|2025-07-30
R000043|E0036|travel_lodging|416.78|1|||A|清源项目在上海开展尽调期间住宿费|2025-11-02
R000044|E0042|local_transport|54.49||1||B|分支机构沟通事项市内交通费|2025-11-22
R000045|E0025|training_fee|2105.26|||||业务规范合规实务课程费|2025-12-11
